n,m,p_max,I,mean,std,min,max
10,10,128,162,1.3368421052631578,0,1.3368421052631578,1.3368421052631578
10,10,128,163,4.7956521739130435,0,4.7956521739130435,4.7956521739130435
10,10,128,164,2.7083333333333335,0,2.7083333333333335,2.7083333333333335
10,10,128,165,4.0375,0,4.0375,4.0375
10,10,128,166,1.0,0,1.0,1.0
10,10,128,167,2.0565217391304347,0,2.0565217391304347,2.0565217391304347
10,10,128,168,3.44,0,3.44,3.44
10,10,128,169,1.0,0,1.0,1.0
10,10,128,170,2.8947368421052633,0,2.8947368421052633,2.8947368421052633
10,10,128,171,1.7272727272727273,0,1.7272727272727273,1.7272727272727273
10,10,128,172,1.8444444444444446,0,1.8444444444444446,1.8444444444444446
10,10,128,173,3.242857142857143,0,3.242857142857143,3.242857142857143
10,10,128,174,2.9161290322580644,0,2.9161290322580644,2.9161290322580644
10,10,128,175,1.5,0,1.5,1.5
10,10,128,176,7.3428571428571425,0,7.3428571428571425,7.3428571428571425
10,10,128,177,2.96,0,2.96,2.96
10,10,128,178,2.033333333333333,0,2.033333333333333,2.033333333333333
10,10,128,179,5.444444444444445,0,5.444444444444445,5.444444444444445
10,10,128,180,2.3181818181818183,0,2.3181818181818183,2.3181818181818183
10,10,128,181,1.4146341463414633,0,1.4146341463414633,1.4146341463414633
10,10,128,182,5.4,0,5.4,5.4
10,10,128,183,4.65,0,4.65,4.65
10,10,128,184,1.0,0,1.0,1.0
10,10,128,185,1.0,0,1.0,1.0
10,10,128,186,1.7804878048780488,0,1.7804878048780488,1.7804878048780488
10,10,128,187,3.625,0,3.625,3.625
10,10,128,188,3.8,0,3.8,3.8
10,10,128,189,1.348148148148148,0,1.348148148148148,1.348148148148148
10,10,128,190,2.05,0,2.05,2.05
10,10,128,191,3.6285714285714286,0,3.6285714285714286,3.6285714285714286
10,10,128,192,2.7,0,2.7,2.7
10,10,128,193,2.0285714285714285,0,2.0285714285714285,2.0285714285714285
10,10,128,194,2.8,0,2.8,2.8
10,10,128,195,2.5714285714285716,0,2.5714285714285716,2.5714285714285716
10,10,128,196,3.1794871794871793,0,3.1794871794871793,3.1794871794871793
10,10,128,197,2.8,0,2.8,2.8
10,10,128,198,6.318181818181818,0,6.318181818181818,6.318181818181818
10,10,128,199,1.0,0,1.0,1.0
10,10,128,200,2.35,0,2.35,2.35
10,10,128,201,2.84,0,2.84,2.84
10,10,128,202,3.016,0,3.016,3.016
10,10,128,203,2.30625,0,2.30625,2.30625
10,10,128,204,4.6461538461538465,0,4.6461538461538465,4.6461538461538465
10,10,128,205,4.3652173913043475,0,4.3652173913043475,4.3652173913043475
10,10,128,206,2.7714285714285714,0,2.7714285714285714,2.7714285714285714
10,10,128,207,2.15,0,2.15,2.15
10,10,128,208,3.6142857142857143,0,3.6142857142857143,3.6142857142857143
10,10,128,209,1.3,0,1.3,1.3
10,10,128,210,1.4,0,1.4,1.4
10,10,128,211,3.06,0,3.06,3.06
10,10,128,212,5.8,0,5.8,5.8
10,10,128,213,2.11,0,2.11,2.11
10,10,128,214,4.7875,0,4.7875,4.7875
10,10,128,215,1.5454545454545454,0,1.5454545454545454,1.5454545454545454
10,10,128,216,5.0,0,5.0,5.0
10,10,128,217,2.9133333333333336,0,2.9133333333333336,2.9133333333333336
10,10,128,218,1.3,0,1.3,1.3
10,10,128,219,2.7714285714285714,0,2.7714285714285714,2.7714285714285714
10,10,128,220,2.7,0,2.7,2.7
10,10,128,221,1.8461538461538463,0,1.8461538461538463,1.8461538461538463
10,10,128,222,4.642857142857143,0,4.642857142857143,4.642857142857143
10,10,128,223,1.7,0,1.7,1.7
10,10,128,224,1.45,0,1.45,1.45
10,10,128,225,1.0,0,1.0,1.0
10,10,128,226,2.04,0,2.04,2.04
10,10,128,227,1.78,0,1.78,1.78
10,10,128,228,3.85,0,3.85,3.85
10,10,128,229,2.0285714285714285,0,2.0285714285714285,2.0285714285714285
10,10,128,230,1.0,0,1.0,1.0
10,10,128,231,1.4,0,1.4,1.4
10,10,128,232,2.8666666666666667,0,2.8666666666666667,2.8666666666666667
10,10,128,233,2.9846153846153847,0,2.9846153846153847,2.9846153846153847
10,10,128,234,5.066666666666666,0,5.066666666666666,5.066666666666666
10,10,128,235,2.8222222222222224,0,2.8222222222222224,2.8222222222222224
10,10,128,236,2.66,0,2.66,2.66
10,10,128,237,3.18,0,3.18,3.18
10,10,128,238,4.245454545454545,0,4.245454545454545,4.245454545454545
10,10,128,239,1.0,0,1.0,1.0
10,10,128,240,2.6444444444444444,0,2.6444444444444444,2.6444444444444444
10,10,128,241,1.975,0,1.975,1.975
10,10,128,242,1.0,0,1.0,1.0
10,10,128,243,3.34,0,3.34,3.34
10,10,128,244,3.2,0,3.2,3.2
10,10,128,245,1.5,0,1.5,1.5
10,10,128,246,4.0,0,4.0,4.0
10,10,128,247,1.0,0,1.0,1.0
10,10,128,248,1.0,0,1.0,1.0
10,10,128,249,1.62,0,1.62,1.62
10,10,128,250,1.5076923076923077,0,1.5076923076923077,1.5076923076923077
10,10,128,251,4.057142857142857,0,4.057142857142857,4.057142857142857
10,10,128,252,1.27,0,1.27,1.27
10,10,128,253,3.442857142857143,0,3.442857142857143,3.442857142857143
10,10,128,254,1.9393939393939394,0,1.9393939393939394,1.9393939393939394
10,10,128,255,4.6,0,4.6,4.6
10,10,128,256,5.7,0,5.7,5.7
10,10,128,257,1.0,0,1.0,1.0
10,10,128,258,5.51,0,5.51,5.51
10,10,128,259,1.54,0,1.54,1.54
10,10,128,260,5.77,0,5.77,5.77
10,10,128,261,3.2,0,3.2,3.2
10,10,128,262,2.188,0,2.188,2.188
10,10,128,263,1.0,0,1.0,1.0
10,10,128,264,4.45,0,4.45,4.45
10,10,128,265,4.642857142857143,0,4.642857142857143,4.642857142857143
10,10,128,266,1.0,0,1.0,1.0
10,10,128,267,1.4263157894736842,0,1.4263157894736842,1.4263157894736842
10,10,128,268,2.6961538461538463,0,2.6961538461538463,2.6961538461538463
10,10,128,269,3.933333333333333,0,3.933333333333333,3.933333333333333
10,10,128,270,2.8117647058823527,0,2.8117647058823527,2.8117647058823527
10,10,128,271,2.1,0,2.1,2.1
10,10,128,272,1.14,0,1.14,1.14
10,10,128,273,1.3428571428571427,0,1.3428571428571427,1.3428571428571427
10,10,128,274,1.75,0,1.75,1.75
10,10,128,275,4.7125,0,4.7125,4.7125
10,10,128,276,1.72,0,1.72,1.72
10,10,128,277,6.266666666666667,0,6.266666666666667,6.266666666666667
10,10,128,278,2.9444444444444446,0,2.9444444444444446,2.9444444444444446
10,10,128,279,1.0,0,1.0,1.0
10,10,128,280,2.8,0,2.8,2.8
10,10,128,281,1.9333333333333333,0,1.9333333333333333,1.9333333333333333
10,10,128,282,3.6333333333333333,0,3.6333333333333333,3.6333333333333333
10,10,128,283,1.65,0,1.65,1.65
10,10,128,284,4.92,0,4.92,4.92
10,10,128,285,1.3,0,1.3,1.3
10,10,128,286,2.2954545454545454,0,2.2954545454545454,2.2954545454545454
10,10,128,287,1.0,0,1.0,1.0
10,10,128,288,3.6,0,3.6,3.6
10,10,128,289,1.0,0,1.0,1.0
10,10,128,290,3.6333333333333333,0,3.6333333333333333,3.6333333333333333
10,10,128,291,2.104761904761905,0,2.104761904761905,2.104761904761905
10,10,128,292,4.975,0,4.975,4.975
10,10,128,293,5.928571428571429,0,5.928571428571429,5.928571428571429
10,10,128,294,4.63,0,4.63,4.63
10,10,128,295,1.0,0,1.0,1.0
10,10,128,296,1.542857142857143,0,1.542857142857143,1.542857142857143
10,10,128,297,1.3666666666666667,0,1.3666666666666667,1.3666666666666667
10,10,128,298,2.3714285714285714,0,2.3714285714285714,2.3714285714285714
10,10,128,299,1.0,0,1.0,1.0
10,10,128,300,3.7,0,3.7,3.7
10,10,128,301,4.875,0,4.875,4.875
10,10,128,302,3.325,0,3.325,3.325
10,10,128,303,4.166666666666667,0,4.166666666666667,4.166666666666667
10,10,128,304,1.875,0,1.875,1.875
10,10,128,305,3.01,0,3.01,3.01
10,10,128,306,6.1,0,6.1,6.1
10,10,128,307,1.488888888888889,0,1.488888888888889,1.488888888888889
10,10,128,308,2.037037037037037,0,2.037037037037037,2.037037037037037
10,10,128,309,1.0222222222222221,0,1.0222222222222221,1.0222222222222221
10,10,128,310,2.6470588235294117,0,2.6470588235294117,2.6470588235294117
10,10,128,311,3.325,0,3.325,3.325
10,10,128,312,1.2857142857142858,0,1.2857142857142858,1.2857142857142858
10,10,128,313,3.5142857142857142,0,3.5142857142857142,3.5142857142857142
10,10,128,314,4.586666666666667,0,4.586666666666667,4.586666666666667
10,10,128,315,1.0,0,1.0,1.0
10,10,128,316,3.12,0,3.12,3.12
10,10,128,317,4.170588235294118,0,4.170588235294118,4.170588235294118
10,10,128,318,1.16,0,1.16,1.16
10,10,128,319,2.761904761904762,0,2.761904761904762,2.761904761904762
10,10,128,320,4.75,0,4.75,4.75
10,10,128,321,1.2333333333333334,0,1.2333333333333334,1.2333333333333334
10,10,128,322,5.586666666666667,0,5.586666666666667,5.586666666666667
10,10,128,323,3.4285714285714284,0,3.4285714285714284,3.4285714285714284
10,10,128,324,1.0,0,1.0,1.0
10,10,128,325,1.626086956521739,0,1.626086956521739,1.626086956521739
10,10,128,326,1.3375,0,1.3375,1.3375
10,10,128,327,5.9,0,5.9,5.9
10,10,128,328,2.75,0,2.75,2.75
10,10,128,329,3.772727272727273,0,3.772727272727273,3.772727272727273
10,10,128,330,5.846153846153846,0,5.846153846153846,5.846153846153846
10,10,128,331,5.545454545454546,0,5.545454545454546,5.545454545454546
10,10,128,332,2.18,0,2.18,2.18
10,10,128,333,2.966666666666667,0,2.966666666666667,2.966666666666667
10,10,128,334,4.6466666666666665,0,4.6466666666666665,4.6466666666666665
10,10,128,335,3.554838709677419,0,3.554838709677419,3.554838709677419
10,10,128,336,4.285714285714286,0,4.285714285714286,4.285714285714286
10,10,128,337,1.6,0,1.6,1.6
10,10,128,338,1.0,0,1.0,1.0
10,10,128,339,3.966666666666667,0,3.966666666666667,3.966666666666667
10,10,128,340,2.04,0,2.04,2.04
10,10,128,341,3.87,0,3.87,3.87
10,10,128,342,2.909090909090909,0,2.909090909090909,2.909090909090909
10,10,128,343,5.19,0,5.19,5.19
10,10,128,344,1.2666666666666666,0,1.2666666666666666,1.2666666666666666
10,10,128,345,1.0,0,1.0,1.0
10,10,128,346,1.7285714285714286,0,1.7285714285714286,1.7285714285714286
10,10,128,347,4.8,0,4.8,4.8
10,10,128,348,3.1,0,3.1,3.1
10,10,128,349,3.05,0,3.05,3.05
10,10,128,350,6.5,0,6.5,6.5
10,10,128,351,5.59375,0,5.59375,5.59375
10,10,128,352,1.0,0,1.0,1.0
10,10,128,353,4.961538461538462,0,4.961538461538462,4.961538461538462
