alg,n,m,p_max,I,mean,std,min,max
RandomizedPmax,1,10,128,48,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,49,4.133333333333334,0,4.133333333333334,4.133333333333334
QThreshold,1,10,128,49,4.733333333333333,0,4.733333333333333,4.733333333333333
Random,1,10,128,49,6.0,0.0,6.0,6.0
RandomizedPmax,1,10,128,49,2.3567010309278342,1.5525330515815867,1.0,4.133333333333334
FastGreedy,1,10,128,50,1.0,0,1.0,1.0
QThreshold,1,10,128,50,4.666666666666667,0,4.666666666666667,4.666666666666667
Random,1,10,128,50,11.0,0.0,11.0,11.0
RandomizedPmax,1,10,128,50,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,51,2.5,0,2.5,2.5
QThreshold,1,10,128,51,29.5,0,29.5,29.5
Random,1,10,128,51,23.5,0.0,23.5,23.5
RandomizedPmax,1,10,128,51,2.5,0.0,2.5,2.5
FastGreedy,1,10,128,52,1.8333333333333333,0,1.8333333333333333,1.8333333333333333
QThreshold,1,10,128,52,10.833333333333334,0,10.833333333333334,10.833333333333334
Random,1,10,128,52,18.666666666666668,0.0,18.666666666666668,18.666666666666668
RandomizedPmax,1,10,128,52,1.8333333333333333,0.0,1.8333333333333333,1.8333333333333333
FastGreedy,1,10,128,53,5.647058823529412,0,5.647058823529412,5.647058823529412
QThreshold,1,10,128,53,3.0,0,3.0,3.0
Random,1,10,128,53,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,53,3.893510487304845,2.252534239664683,1.0,5.647058823529412
FastGreedy,1,10,128,54,1.0,0,1.0,1.0
QThreshold,1,10,128,54,10.2,0,10.2,10.2
Random,1,10,128,54,10.4,0.0,10.4,10.4
RandomizedPmax,1,10,128,54,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,55,1.0,0,1.0,1.0
QThreshold,1,10,128,55,2.5555555555555554,0,2.5555555555555554,2.5555555555555554
Random,1,10,128,55,10.555555555555555,0.0,10.555555555555555,10.555555555555555
RandomizedPmax,1,10,128,55,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,56,1.0,0,1.0,1.0
QThreshold,1,10,128,56,34.5,0,34.5,34.5
Random,1,10,128,56,34.5,0.0,34.5,34.5
RandomizedPmax,1,10,128,56,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,57,3.3636363636363638,0,3.3636363636363638,3.3636363636363638
QThreshold,1,10,128,57,2.787878787878788,0,2.787878787878788,2.787878787878788
Random,1,10,128,57,2.484848484848485,0.0,2.484848484848485,2.484848484848485
RandomizedPmax,1,10,128,57,3.3636363636363638,0.0,3.3636363636363638,3.3636363636363638
FastGreedy,1,10,128,58,2.235294117647059,0,2.235294117647059,2.235294117647059
QThreshold,1,10,128,58,1.7647058823529411,0,1.7647058823529411,1.7647058823529411
Random,1,10,128,58,7.411764705882353,0.0,7.411764705882353,7.411764705882353
RandomizedPmax,1,10,128,58,1.7738246505717914,0.5975754756589913,1.0,2.235294117647059
FastGreedy,1,10,128,59,1.1111111111111112,0,1.1111111111111112,1.1111111111111112
QThreshold,1,10,128,59,11.222222222222221,0,11.222222222222221,11.222222222222221
Random,1,10,128,59,1.5555555555555556,0.0,1.5555555555555556,1.5555555555555556
RandomizedPmax,1,10,128,59,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112
FastGreedy,1,10,128,60,1.0,0,1.0,1.0
QThreshold,1,10,128,60,5.111111111111111,0,5.111111111111111,5.111111111111111
